46 2.0428021  -2.8775239 -0.5411815 4.3009198 4.9735079 9.0274897 10.19747 10.99273 16.424323
47 2.0781574  -2.8174292 -0.50622339 4.0109396 4.8564444 9.2209668 10.157496 11.300906 16.143091
48 2.1135128  -2.7468363 -0.46763903 3.7200265 4.7203544 9.398778 10.126729 11.665817 15.832423
49 2.1488681  -2.6659267 -0.42722078 3.4354174 4.5670701 9.5641484 10.109704 12.077393 15.480265
50 2.1842235  -2.5749031 -0.3874073 3.1631806 4.3989236 9.7223014 10.109966 12.523699 15.087987
51 2.2195788  -2.4739976 -0.3514622 2.9090392 4.2186328 9.8781619 10.129993 12.988933 14.722152
52 2.2549341  -2.3634857 -0.32362893 2.678923 4.0291492 10.035583 10.171276 13.432793 14.416808
53 2.2902895  -2.2437041 -0.3091391 2.4792224 3.8335045 10.197317 10.234452 13.650419 14.169604
54 2.3256448  -2.1150733 -0.31385117 2.3165811 3.6346927 10.319481 10.365193 13.465925 13.849015
55 2.3610002  -1.9781275 -0.34328465 2.1970285 3.4356024 10.425805 10.540268 13.178029 13.537713
56 2.3963555  -1.8335535 -0.40111957 2.1245421 3.2390061 10.552451 10.722837 12.882376 13.236825
57 2.4317108  -1.6822456 -0.48785742 2.0997483 3.0475999 10.698047 10.912103 12.596894 12.947413
58 2.4670662  -1.5253795 -0.60059535 2.1197218 2.864089 10.860622 11.104839 12.329918 12.670878
59 2.5024215  -1.3645144 -0.73409988 2.179073 2.6913139 11.036804 11.289593 12.095102 12.409896
60 2.5377768  -1.2017302 -0.88236719 2.271514 2.532415 11.218669 11.41816 11.941889 12.171665
61 2.5731322  -1.0397979 -1.0397979 2.3910319 2.3910319 11.378556 11.378556 11.983128 11.983128
62 2.5908099  -1.0951296 -0.98577049 2.3456221 2.4418977 11.255785 11.410396 12.01635 12.047197
63 2.6084875  -1.1477147 -0.93707906 2.3022353 2.501526 11.041509 11.42094 12.137419 12.149036
64 2.6261652  -1.1975383 -0.89363619 2.2609265 2.5695607 10.799757 11.416674 12.247173 12.31743
65 2.6438429  -1.2445861 -0.8552628 2.2217456 2.6455004 10.551495 11.403456 12.370455 12.500851
66 2.6615205  -1.288845 -0.82170134 2.1847379 2.7287013 10.303838 11.385295 12.503104 12.692489
67 2.6791982  -1.3303025 -0.79263259 2.1499445 2.81838 10.059935 11.364684 12.642458 12.889524
68 2.6968759  -1.3689469 -0.76769422 2.1174027 2.9136155 9.8216153 11.343161 12.786796 13.090485
69 2.7145535  -1.4047677 -0.74649906 2.0871463 3.0133476 9.5902368 11.321688 12.934949 13.294402
70 2.7322312  -1.4377554 -0.72865185 2.0592056 3.1163694 9.3670212 11.300889 13.086053 13.500471
71 2.7499089  -1.4679014 -0.71376339 2.033608 3.2213133 9.1532135 11.281183 13.239405 13.707877
72 2.7675865  -1.4951978 -0.70146181 2.0103779 3.3266311 8.9501767 11.262858 13.394363 13.915677
73 2.7852642  -1.519638 -0.69140097 1.989537 3.4305702 8.759456 11.246116 13.550263 14.122669
74 2.8029419  -1.541216 -0.68326622 1.9711043 3.5311505 8.5828245 11.231105 13.706328 14.327242
75 2.8206196  -1.5599267 -0.67677809 1.9550964 3.6261529 8.4223091 11.217933 13.861532 14.527135
76 2.8382972  -1.5757659 -0.67169426 1.9415277 3.7131312 8.2801853 11.206679 14.014364 14.719083
77 2.8559749  -1.5887299 -0.66781046 1.9304099 3.7894686 8.1589247 11.197404 14.16237 14.898258
78 2.8736526  -1.5988159 -0.66496048 1.9217528 3.8524986 8.0610753 11.190149 14.301192 15.057509
79 2.8913302  -1.6060218 -0.6630159 1.9155638 3.8997027 7.9890645 11.184947 14.422589 15.186616
80 2.9090079  -1.6103459 -0.66188547 1.9118483 3.9289738 7.944935 11.181818 14.511251 15.272602
81 2.9266856  -1.6117874 -0.6615147 1.9106095 3.9388975 7.9300628 11.180774 14.545048 15.30306
82 2.9797186  -1.7995582 -0.47294961 1.8111335 4.0801886 8.0951055 12.04516 14.061561 14.799175
83 3.0327516  -2.0296689 -0.25936438 1.7930202 4.237299 8.2804041 12.933925 13.592481 14.261139
84 3.0857846  -2.2919497 -0.021213593 1.8489379 4.4084597 8.4831729 13.142162 13.606846 13.997926
85 3.1388176  -2.5743559 0.24116717 1.9685628 4.5915047 8.6988594 12.713244 13.218951 14.062352
86 3.1918506  -2.8657957 0.52763608 2.1417637 4.7838084 8.920667 12.307283 12.777684 13.819784
87 3.2448836  -3.1573049 0.83825726 2.359965 4.9822384 9.1393717 11.925179 12.361342 13.614364
88 3.2979166  -3.4421023 1.1732333 2.6162877 5.1831478 9.3437101 11.567448 11.97302 13.449066
89 3.3509496  -3.7152095 1.5327754 2.905184 5.3824355 9.521637 11.234404 11.612604 13.324106
90 3.4039827  -3.9730103 1.9169479 3.2219525 5.5757031 9.662566 10.926264 11.279408 13.234157
91 3.4570157  -4.2128854 2.3255175 3.5622705 5.7585258 9.7600606 10.643213 10.972572 13.164356
92 3.5100487  -4.4329408 2.7578101 3.9217586 5.9268211 9.8136112 10.385448 10.691135 13.086511
93 3.5630817  -4.6318158 3.2125465 4.2955452 6.077255 9.8282525 10.153202 10.43405 12.958734
94 3.6161147  -4.8085465 3.6875973 4.6777889 6.207583 9.8122424 9.9467619 10.200187 12.735063
95 3.6691477  -4.9624658 4.1795507 5.0611031 6.3168229 9.7664749 9.7742112 9.9884153 12.390156
96 3.7221807  -5.0931276 4.6828768 5.435829 6.4051981 9.6127514 9.7207809 9.7978512 11.940849
97 3.7752137  -5.2002462 5.1882142 5.7891143 6.4738731 9.4860495 9.6284645 9.6544369 11.437472
98 3.8282467  -5.2836511 5.678674 6.1038731 6.5245617 9.3868464 9.4822428 9.5707789 10.943982
99 3.8812797  -5.3432532 6.1218441 6.3581287 6.5591074 9.3155961 9.3648253 9.458262 10.534324
100 3.9343127  -5.3790179 6.4555993 6.5263603 6.5791121 9.2726768 9.2863251 9.3259532 10.279429
101 3.9873457  -5.3909391 6.585654 6.585654 6.585654 9.2583408 9.2583408 9.2583408 10.198242
